#;Empresa;Ticker;Índice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
59;Merck KGaA;MRK.DE;DAX 40;Salud;12,83;6,85;1865000000,0;2453000000,0;400353590,0;29,47;20,34;10,58;5,82;1193000000,0;1761000000,0;-88568060,0;27,08;18,13;9,28;5,38;2455000000,0;2402000000,0;-209096968,0;28,18;18,09;9,12;5,06;3651000000,0;1974000000,0;-478663966,0;28,4;17,51;9,12;5,06;3651000000,0;1974000000,0;-478663966,0;28,4;17,51
60;MTU Aero Engines;MTX.DE;DAX 40;Aeroespacial;10,91;3,59;347000000,0;347000000,0;-70794989,0;16,21;9,53;-3,56;-1,0;371000000,0;365000000,0;-517280000,0;3,65;-2,54;18,82;5,07;1119000000,0;74000000,0;195345251,0;19,88;13,36;23,55;7,99;-167000000,0;333000000,0;514926314,0;21,58;16,83;23,55;7,99;-167000000,0;333000000,0;514926314,0;21,58;16,83
61;Munich Re;MUV2.DE;DAX 40;Seguros;19,61;1,97;3166000000,0;3623000000,0;;33,16;25,92;15,53;1,68;2063000000,0;2197000000,0;;19,46;18,66;17,39;1,99;4173000000,0;2827000000,0;;13,17;12,59;18,4;2,19;5649000000,0;4606000000,0;;15,01;14,44;18,4;2,19;5649000000,0;4606000000,0;;15,01;14,44
62;Porsche AG;P911.DE;DAX 40;Automoción;29,13;10,41;3027000000,0;3453000000,0;2555612733,0;27,57;19,09;23,8;10,22;4026000000,0;2926000000,0;2335262780,0;27,36;18,65;15,59;6,71;6780000000,0;6353000000,0;613653828,0;23,8;13,6;1,87;0,82;3614000000,0;3614000000,0;-2659789663,0;16,72;1,69;1,87;0,82;3614000000,0;3614000000,0;-2659789663,0;16,72;1,69
63;Porsche SE;PAH3.DE;DAX 40;Holding;10,53;9,23;7861000000,0;791000000,0;911685151,0;99,41;99,39;9,21;8,17;6370000000,0;1659000000,0;432943647,0;100,33;100,31;-57,02;-46,72;3022000000,0;1431000000,0;-23074656179,0;99,63;99,64;7,01;5,89;2200000000,0;700000000,0;-631707680,0;107,84;107,8;7,01;5,89;2200000000,0;700000000,0;-631707680,0;107,84;107,8
64;Qiagen;QIA.DE;DAX 40;Salud;12,21;6,73;457377000,0;565928000,0;46334446,0;36,39;26,66;8,96;5,58;-140109000,0;296653000,0;-19156914,0;35,04;24,59;2,34;1,47;394984000,0;502309000,0;-257966146,0;18,62;8,34;11,25;6,76;655351000,0;447200000,0;-7826841,0;34,32;25,05;11,25;6,76;655351000,0;447200000,0;-7826841,0;34,32;25,05
65;Rheinmetall;RHM.DE;DAX 40;Defensa;16,81;5,85;-158000000,0;-175000000,0;204364011,0;15,6;11,7;16,13;4,57;1267000000,0;345000000,0;215963681,0;17,2;12,9;17,7;5,0;1008000000,0;988000000,0;318464658,0;21,85;16,64;13,89;4,15;901000000,0;1415000000,0;646698626,0;22,03;16,99;13,89;4,15;901000000,0;1415000000,0;646698626,0;22,03;16,99
66;RWE;RWE.DE;DAX 40;Utilities;9,85;1,96;5101000000,0;-2078000000,0;-3551040000,0;3,73;4,02;4,73;1,42;-1499000000,0;-923000000,0;-1658520000,0;33,1;19,7;16,28;5,22;-1087000000,0;-2757000000,0;540191159,0;43,93;30,74;9,11;3,08;-1287000000,0;-5060000000,0;-2357425420,0;39,09;23,43;9,11;3,08;-1287000000,0;-5060000000,0;-2357425420,0;39,09;23,43
67;SAP;SAP.DE;DAX 40;Tecnología;5,68;3,17;3073000000,0;4770000000,0;-1039002269,0;21,95;16,64;14,22;8,98;1061000000,0;5461000000,0;-264494140,0;23,56;19,16;6,88;4,21;5682000000,0;4410000000,0;-902041058,0;19,28;15,53;16,06;10,18;4929000000,0;8417000000,0;3441283194,0;32,81;29,24;16,06;10,18;4929000000,0;8417000000,0;3441283194,0;32,81;29,24
68;Sartorius;SRT.DE;DAX 40;Salud;34,08;9,72;616400000,0;211600000,0;526347052,0;36,03;29,15;9,94;2,11;2788000000,0;293900000,0;-273749542,0;25,71;15,66;3,04;0,83;-268700000,0;566300000,0;-419857974,0;23,27;10,97;5,72;1,59;55400000,0;395100000,0;-270266938,0;26,32;14,45;5,72;1,59;55400000,0;395100000,0;-270266938,0;26,32;14,45
